WeekDynamic_Classified																														
Date	WeekDynamic_Open_Interest_Total	WeekDynamic_Reportable_Positions_Net	WeekDynamic_Reportable_Positions_Long	WeekDynamic_Reportable_Positions_Short	WeekDynamic_Prod_Merc_Positions_Total	WeekDynamic_Prod_Merc_Positions_Net	WeekDynamic_Prod_Merc_Positions_Long	WeekDynamic_Prod_Merc_Positions_Short	WeekDynamic_Swap_Positions_Total	WeekDynamic_Swap_Positions_Net	WeekDynamic_Swap_Positions_Long	WeekDynamic_Swap_Positions_Short	WeekDynamic_Swap_Positions_Spread	WeekDynamic_M_Money_Positions_Total	WeekDynamic_M_Money_Positions_Net	WeekDynamic_M_Money_Positions_Long	WeekDynamic_M_Money_Positions_Short	WeekDynamic_M_Money_Positions_Spread	WeekDynamic_Other_Rept_Positions_Total	WeekDynamic_Other_Rept_Positions_Net	WeekDynamic_Other_Rept_Positions_Long	WeekDynamic_Other_Rept_Positions_Short	WeekDynamic_Other_Rept_Positions_Spread	WeekDynamic_NonRept_Positions_Total	WeekDynamic_NonRept_Positions_Net	WeekDynamic_NonRept_Positions_Long	WeekDynamic_NonRept_Positions_Short	binShort	binLong	binNeut
12.11.2013	9	0	9	9	6	0	9	4	0	0	0	0	0	9	5	0	0	7	6	4	6	0	6	0	0	5	0	0	0	1
19.11.2013	0	0	0	6	0	0	0	0	0	0	0	0	6	0	0	0	0	0	7	5	7	5	0	3	0	0	3	0	0	1
26.11.2013	2	0	2	3	2	0	0	3	2	3	3	4	3	6	0	0	5	0	2	0	4	3	3	4	0	0	4	0	0	1
03.12.2013	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	1
10.12.2013	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	6	0	0	5	0	0	1
17.12.2013	0	0	0	0	0	4	0	0	0	3	3	5	7	0	0	0	0	0	0	0	0	0	6	0	0	5	0	0	1	0
24.12.2013	0	0	0	0	0	4	0	0	0	3	0	5	0	0	0	0	0	0	6	0	0	5	6	0	0	0	0	0	1	0
31.12.2013	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0
07.01.2014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	6	0	1	0
14.01.2014	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	5	0	0	6	0	3	0	9	0	0	0	0	0	1	0
21.01.2014	0	0	6	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	5	6	0	0	0	0	0	1	0
28.01.2014	0	0	0	6	7	0	6	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	3	0	0	0	3	0	1	0
04.02.2014	0	0	0	0	0	5	0	6	6	6	6	0	0	0	0	0	0	3	0	0	0	0	3	0	0	5	4	0	1	0
11.02.2014	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	0	0	7	0	0	0	0	0	1	0
18.02.2014	3	0	3	3	3	5	2	0	6	5	5	0	0	3	0	0	3	6	3	5	0	4	3	0	0	0	4	1	1	0
25.02.2014	0	0	0	0	3	0	3	4	3	4	4	0	3	1	0	4	2	0	0	0	1	3	3	0	0	4	0	1	1	0
04.03.2014	1	0	1	1	3	0	2	0	0	0	0	0	0	2	0	0	3	3	3	4	0	0	2	3	0	0	3	1	0	0
11.03.2014	0	4	3	0	6	0	3	6	3	0	4	0	0	3	4	0	3	3	0	5	3	0	0	6	4	7	0	1	0	0
18.03.2014	0	0	0	0	6	0	0	6	4	6	6	4	2	0	5	0	3	6	7	5	0	7	0	0	0	4	0	1	0	0
25.03.2014	6	0	7	6	5	0	0	5	5	0	0	5	0	6	0	5	3	7	0	0	0	5	0	0	0	0	0	1	0	0
01.04.2014	0	0	0	0	0	0	6	0	0	3	4	0	0	0	0	0	3	0	6	0	0	5	0	0	0	4	0	1	0	0
08.04.2014	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	4	6	0	1	0	0
15.04.2014	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0
22.04.2014	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	6	0	7	3	5	2	0	1	0	0
